State,ResidenceType_Urban,Household_members,HealthInsurance,Single_Parent,Religion,family_id
Jammu & Kashmir,0,8,0,0,2,318
Jammu & Kashmir,0,6,0,0,2,319
Jammu & Kashmir,0,6,0,0,2,320
Jammu & Kashmir,0,5,0,0,2,321
Jammu & Kashmir,0,5,0,0,2,322
Jammu & Kashmir,0,5,0,0,2,323
Jammu & Kashmir,0,6,0,0,2,324
Jammu & Kashmir,0,6,0,0,2,325
Jammu & Kashmir,0,4,0,0,2,326
Jammu & Kashmir,0,5,0,0,2,327
Jammu & Kashmir,0,6,0,0,2,328
Jammu & Kashmir,0,7,0,0,2,329
Jammu & Kashmir,0,6,0,0,2,330
Jammu & Kashmir,0,5,0,0,2,331
Jammu & Kashmir,0,6,0,0,2,332
Jammu & Kashmir,0,6,0,0,2,333
Jammu & Kashmir,0,5,0,0,2,334
Jammu & Kashmir,0,5,0,0,2,335
Jammu & Kashmir,0,5,0,0,2,336
Jammu & Kashmir,0,6,0,0,2,337
Jammu & Kashmir,0,5,0,0,2,338
Jammu & Kashmir,0,4,0,0,2,339
Jammu & Kashmir,0,6,0,0,2,340
Jammu & Kashmir,0,6,0,0,2,341
Jammu & Kashmir,0,5,0,0,2,342
Jammu & Kashmir,0,5,0,0,2,343
Jammu & Kashmir,0,5,0,0,2,344
Jammu & Kashmir,0,5,0,0,2,345
Jammu & Kashmir,0,6,0,0,2,346
Jammu & Kashmir,0,6,0,0,2,347
Jammu & Kashmir,0,7,0,0,2,348
Jammu & Kashmir,0,4,0,0,2,349
Jammu & Kashmir,0,5,0,0,2,350
Jammu & Kashmir,0,5,0,0,2,351
Jammu & Kashmir,0,6,0,0,2,352
Jammu & Kashmir,0,4,0,0,2,353
Jammu & Kashmir,0,4,0,0,2,354
Jammu & Kashmir,0,4,0,0,2,355
Jammu & Kashmir,0,8,0,0,2,356
Jammu & Kashmir,0,6,0,0,2,357
Jammu & Kashmir,0,6,0,0,2,358
Jammu & Kashmir,0,4,0,0,2,359
Jammu & Kashmir,0,3,0,0,2,360
Jammu & Kashmir,0,4,0,0,2,361
Jammu & Kashmir,0,4,0,0,2,362
Jammu & Kashmir,0,5,0,0,2,363
Jammu & Kashmir,0,6,0,0,2,364
Jammu & Kashmir,0,6,0,0,2,365
Jammu & Kashmir,0,4,0,0,2,366
Jammu & Kashmir,0,4,0,0,2,367
Jammu & Kashmir,0,8,0,0,2,368
Jammu & Kashmir,0,5,0,0,2,369
Jammu & Kashmir,0,4,0,0,2,370
Jammu & Kashmir,0,5,0,0,2,371
Jammu & Kashmir,0,4,0,0,2,372
Jammu & Kashmir,0,11,0,0,2,373
Jammu & Kashmir,0,7,0,0,2,374
Jammu & Kashmir,0,6,0,0,2,375
Jammu & Kashmir,0,4,0,0,2,376
Jammu & Kashmir,0,4,0,0,2,377
Jammu & Kashmir,0,5,0,0,2,378
Jammu & Kashmir,0,7,0,0,2,379
Jammu & Kashmir,0,4,0,0,2,380
Jammu & Kashmir,0,7,0,0,2,381
Jammu & Kashmir,0,5,0,0,2,382
Jammu & Kashmir,0,6,0,0,2,383
Jammu & Kashmir,0,8,0,0,2,384
Jammu & Kashmir,0,5,0,0,2,385
Jammu & Kashmir,0,5,0,0,2,386
Jammu & Kashmir,0,7,0,0,2,387
Jammu & Kashmir,0,4,0,0,2,388
Jammu & Kashmir,0,4,0,0,2,389
Jammu & Kashmir,0,7,0,0,2,390
Jammu & Kashmir,0,4,0,0,2,391
Jammu & Kashmir,0,6,0,0,2,392
Jammu & Kashmir,0,3,0,0,2,393
Jammu & Kashmir,0,6,0,0,2,394
Jammu & Kashmir,0,6,0,0,2,395
Jammu & Kashmir,0,4,0,0,2,396
Jammu & Kashmir,0,6,0,0,2,397
Jammu & Kashmir,0,4,0,0,2,398
Jammu & Kashmir,0,4,0,0,2,399
Jammu & Kashmir,0,3,0,0,2,400
Jammu & Kashmir,0,8,0,0,2,401
Jammu & Kashmir,0,6,0,0,2,402
Jammu & Kashmir,0,6,0,0,2,403
Jammu & Kashmir,0,3,0,0,2,404
Jammu & Kashmir,0,4,0,0,2,405
Jammu & Kashmir,0,6,0,0,2,406
Jammu & Kashmir,0,5,0,0,2,407
Jammu & Kashmir,0,4,0,0,2,408
Jammu & Kashmir,0,4,0,0,2,409
Jammu & Kashmir,0,4,0,0,2,410
Jammu & Kashmir,0,4,0,0,2,411
Jammu & Kashmir,0,7,0,0,2,412
Jammu & Kashmir,1,4,0,0,2,413
Jammu & Kashmir,1,12,0,0,2,414
Jammu & Kashmir,1,12,0,0,2,415
Jammu & Kashmir,1,4,0,0,2,416
Jammu & Kashmir,1,11,0,0,2,417
Jammu & Kashmir,1,5,0,0,2,418
Jammu & Kashmir,1,6,0,0,2,419
Jammu & Kashmir,1,4,0,0,2,420
